"video_id,comment_count,comments_status,view_count,like_count,error"
"hDcWfBq5bxM,111,enabled,393256,1532,"
"BtHDTsAA3uI,42,enabled,24418,267,"
"pqe4AHTpzPg,925,enabled,528038,3840,"
"nEGTPVWnwyo,3084,enabled,985095,16680,"
"T9O6rfENh7I,836,enabled,514272,3008,"
"uNeVk5mzssA,0,disabled,22951,96,"
"L93bcUoLT_E,1624,enabled,5101614,33666,"
"-1GPvt7FRt4,5217,enabled,3444022,39369,"
"Im9Pj6FnhlM,119,enabled,112506,2344,"
"SwTSvzn9yHQ,934,enabled,3387700,26247,"
"QB8OXhvtOMY,7067,enabled,10809530,51770,"
"vxBrSvs3VkY,759,enabled,979268,3488,"
"oWahg8OWtlU,1885,enabled,252911,9097,"
"pmtmeXYW2o4,12,enabled,17499,174,"
"CUdnMkFXI2I,260,enabled,244770,2628,"
"nsAEReon0Ho,0,disabled,88555,1972,"
"gOsEVZIfCmo,6,enabled,3205,38,"
"qp3XT9Jx1bI,6,enabled,4160,67,"
"1EUtL4_bdpk,61,enabled,29448,557,"
"cJ_boE1nZZ0,357,enabled,312822,837,"
"lX-1CexeTUc,1460,enabled,704721,4177,"
"P72PTEioSyw,11970,enabled,2817372,17730,"
"sWaiZEeWvHE,8,enabled,544,14,"
"Nv3sYb8BY_c,29,enabled,82904,520,"
"QU3gS5mKMbQ,333,enabled,185634,4423,"
"y6abL0JbEI4,85,enabled,36970,540,"
"8SWKMMMvp-g,1420,enabled,1365085,8857,"
"VxFjio-xfM0,16,enabled,4929,56,"
"onJZpbC4KqU,1458,enabled,459111,9413,"
"pThox-ig-ho,90,enabled,173549,1041,"
"dViaNfK8krA,9590,enabled,9436550,180168,"
"l6FasjnqEBo,4569,enabled,2332817,32183,"
"hzAWq6btY2w,6003,enabled,5106238,55090,"
"eQA5BaLMHFs,2405,enabled,2581824,40672,"
"LVmFU6hwRqU,429,enabled,373152,4486,"
"e7tGkJp2HfU,2276,enabled,1783132,15492,"
"5vijt6GxD_8,1551,enabled,2346296,23689,"
"jeERYDPGRnU,1758,enabled,12720262,41897,"
"xLOi_bvWXEo,554,enabled,356582,3345,"
"mOSrtH9n0sE,557,enabled,5142839,27269,"
"WA8qkFtrpUg,4299,enabled,3264723,27289,"
"47GyO3DsohA,363,enabled,171165,1914,"
"0brngy3hCZg,5620,enabled,2851967,32762,"
"xVr0kB6SqEE,775,enabled,1278059,7747,"
"CMdqzuuyb90,3555,enabled,2250129,36190,"
