video_id,mean_compound,std_compound,pct_positive,pct_negative
St8vFW9Kg-c,0.284929,0.3892488644286583,0.52,0.07
aVHDjmvrXfc,0.08889000000000002,0.4613948659228883,0.39,0.25
-XjXTVJhFLM,0.6230259999999999,0.38860566506936045,0.86,0.05
JI1kq6CA_38,0.32395199999999996,0.3976913005032924,0.55,0.05
7s5DoGy1Bfo,-0.062686,0.5772331102804135,0.36,0.44
E2kUsRIj4tM,0.57503,0.2993318882110625,0.84,0.0
Bi6pcwUbTB4,-0.02069799999999998,0.4984805095447565,0.29,0.34
W1_mXRfrNbQ,0.0665625,0.45569147851781255,0.375,0.3125
dsyyq62uJ60,0.16710200000000003,0.5129623654772346,0.43,0.2
yDtSgSZVxLs,0.049735000000000015,0.3614366567947972,0.27,0.2
BIAyb-1uwTg,0.596155,0.3545294854804041,0.84,0.03
-_wfFCLaFWk,0.4396285714285714,0.3607004503711621,0.5714285714285714,0.0
3sXczWhu6wg,0.09711627906976743,0.3917546633374257,0.27906976744186046,0.18604651162790697
qMPTitxLhKo,-0.08483399999999999,0.5085827433604093,0.23,0.38
sZG20Mq3Mew,0.08638800000000002,0.4132483929260947,0.29,0.12
Z5CigvO3MOw,0.058290243902439025,0.321473825740955,0.2073170731707317,0.10975609756097561
OdJnRxYjOmI,0.37934200000000007,0.4557887230241661,0.61,0.1
iyQxa9MHJdA,0.376494,0.47062194101422855,0.63,0.08
uI8hzNEHku8,0.23671100000000003,0.4286327168789149,0.48,0.12
HlKFVcuIHg8,0.3685,0.2600806644101018,0.4,0.0
hAeTOUCmK_8,0.20120700000000002,0.431400862830616,0.45,0.12
C9u2rNVnZWQ,0.4239439999999999,0.5542976251653979,0.68,0.14
T1zzyGhA4-g,0.30382600000000004,0.41947920726062216,0.55,0.09
tnazs2t5Brg,0.20142000000000004,0.4488826129401762,0.49,0.15
MSx_rMsPy08,0.26408,0.47621117689529296,0.52,0.15
JkDS7bRO7TQ,0.12427099999999999,0.428009650661057,0.35,0.13
n1NvtUwfRJc,0.44796700000000006,0.44167160539364536,0.7,0.08
tft1sD5NX_k,0.17999069767441858,0.4785884355175552,0.4883720930232558,0.18604651162790697
OttRV5ykP7A,0.28175400000000006,0.5030900292035214,0.54,0.17
spkfIpPmPgs,0.308778,0.4549988407853365,0.52,0.1
Sl7mO6Z5vWg,-0.01824200000000001,0.5137841362245432,0.31,0.33
WRmhToZfoHs,0.130704,0.3804617849193267,0.31,0.14
VxhPCJZXhfk,0.2613607843137255,0.4841672268546986,0.5098039215686274,0.09803921568627451
WlWEpRdcVCY,0.009075999999999996,0.4076543756958828,0.25,0.19
YgVBG8uuxx0,0.15967699999999999,0.34419880907841627,0.29,0.06
VSrEEDQgFc8,0.06490599999999999,0.43900781287352963,0.32,0.24
YVp6q68lvYI,0.140027,0.39916461988883734,0.38,0.11
JzR0MiObqzw,0.109246,0.4556829420594982,0.37,0.23
1RWOpQXTltA,0.135289,0.4327373967881676,0.35,0.16
S9d2QkCncuE,-0.053633999999999994,0.3398404049609169,0.11,0.19
tg803wPzFEE,0.125112,0.3355035800941623,0.31,0.11
iDJjq0Pd0RM,0.47024099999999996,0.45867744921567705,0.71,0.07
s3jjdHuOUFI,0.2238317073170732,0.4757400568352142,0.4878048780487805,0.17073170731707318
WdT4DPFXIkM,0.543345,0.34884964193044543,0.81,0.02
iCRyq-UAOBY,0.104045,0.5504507001312652,0.45,0.26
SDaWVYXBxZg,-0.078987,0.5227647977159519,0.25,0.4
ShjRCYXU-xM,0.065635,0.5609368373310849,0.41,0.28
3ib6ST5S_Ok,-0.09914,0.5127943236815322,0.2,0.4
qTQaIbIu8q8,0.40837399999999996,0.42039716093713103,0.66,0.06
JRrl7SjUjD8,0.06059500000000001,0.42313372646835895,0.28,0.24
C6X3qkWoXv8,0.26674600000000004,0.40249955364447293,0.5,0.07
N24EfTHdJX8,0.18269000000000002,0.36902235420093454,0.35,0.06
qNUmCtCV_so,0.11546666666666668,0.3509963818498483,0.3010752688172043,0.11827956989247312
vgA2gxUwEfg,0.24212000000000006,0.44477141927061814,0.44,0.12
kR-BPVSqZqk,0.406167,0.4176366763240508,0.68,0.08
XdXWpEFGEUE,0.5819390000000001,0.48755913710954085,0.8,0.1
omcQ4Cb0Hx8,0.20198299999999997,0.41445066052667845,0.47,0.11
i5temwLLRy8,0.196569,0.43204278947692215,0.39,0.15
a7efEqgpIrE,0.053434,0.31624046206012285,0.21,0.13
sD3FOFZKKiY,0.246952,0.41053952026083923,0.45,0.07
wLHd91tAI5s,0.21264399999999994,0.42961219938917006,0.4,0.07
0RDtwoAt1do,0.3817952380952381,0.37675790948336657,0.5714285714285714,0.0
Tck3jgaZlhE,0.42116299999999995,0.4306139767018716,0.69,0.1
rT1nGjGM2p8,0.21692600000000004,0.40095468437717496,0.42,0.09
WS9MgI6Jv9Q,0.1586561403508772,0.3316972033994225,0.3157894736842105,0.05263157894736842
48--pjS2sLU,0.17065000000000002,0.4995626368134431,0.42,0.18
0dC_4IqXgTs,0.215514,0.4056794463662166,0.51,0.13
6KSjznyrAo8,0.17805500000000002,0.35364451003090663,0.3,0.05
H-EtOKn6qXs,0.027338947368421056,0.36789719224540146,0.23157894736842105,0.21052631578947367
oqU_pqD6OCA,0.21572285714285713,0.45755138358484737,0.45714285714285713,0.17142857142857143
apmDI1iZUm4,0.163904,0.3478859666384949,0.34,0.08
H6i9PiKyuas,0.33034731182795696,0.4815352639732245,0.5806451612903226,0.13978494623655913
Fq6bluwMCLs,0.20438024691358025,0.4824567973800459,0.43209876543209874,0.16049382716049382
9nuT_ZxWwb0,-0.036137999999999997,0.40383199174409157,0.18,0.28
jGISQHZWvlI,0.16183100000000003,0.42861886348946426,0.39,0.12
fjIbLTaLaoA,0.06136153846153847,0.3350376041775277,0.23076923076923078,0.11538461538461539
1kly25zVbco,0.603715,0.32408083169943885,0.84,0.02
oA53ZanVNgc,0.27641299999999996,0.37957362043614146,0.4,0.02
eQvdOLxkGc0,0.18976200000000001,0.38861060479096554,0.46,0.11
doUdRCrK80E,0.277637,0.40760934475426347,0.52,0.08
m7mP1qyBQiw,0.086153,0.43917963032340196,0.32,0.21
SJLENbI12-A,0.20398333333333332,0.286610346211639,0.2916666666666667,0.0
tT3cPwV4uTk,-0.06907999999999999,0.46522305101961575,0.22,0.35
Vg7dWjieF2Y,0.19848333333333334,0.5581853766646186,0.5,0.16666666666666666
-RNI9o06vqo,0.19946099999999997,0.5781831488196452,0.48,0.23
qk7ChII_Up0,0.216331,0.4790569808895389,0.46,0.15
kArC6ZlwetQ,-0.089196,0.431050667768883,0.17,0.33
SNYpl1hCu3w,0.30899899999999997,0.4133293307993034,0.54,0.11
HVyUkKthTuA,-0.021417,0.4082820422342869,0.24,0.25
_cVlSAD2mRU,0.372437,0.3839249777378388,0.64,0.06
EwzD8U4u76k,0.4296580000000001,0.4101501318249208,0.65,0.05
hI46Wvjgo_0,0.27534615384615385,0.3609733553247911,0.5,0.07692307692307693
5P2jzgIDrPo,-0.029704000000000005,0.5068917566739471,0.27,0.3
heWJYtdZcPY,0.37404899999999996,0.41644999855805026,0.61,0.06
N7hlIbJkvUQ,0.3018080000000001,0.5026719782681346,0.54,0.16
KDHuWxy53uM,0.5111529999999999,0.3426424414619415,0.77,0.02
Nm7U_ZZaOAc,0.336338,0.38422562636555097,0.51,0.03
BFGEGksIm28,0.14967699999999998,0.4566320303822324,0.4,0.17
JdKV1L1DJHc,0.079732,0.3749391336950572,0.27,0.14
SJMlzIwzyQE,-0.0034270000000000034,0.4723118357303784,0.27,0.25
PBwS7svfqkI,0.253423,0.511008684046563,0.54,0.16
yJ6qaml8U9w,0.048917999999999996,0.31868388141856185,0.21,0.12
YzA-HMq0rUA,0.03828,0.5176220290907256,0.4,0.33
PU06GuQ7svA,0.10330694444444445,0.4404359662521231,0.3333333333333333,0.16666666666666666
GsUSEwafFIE,0.3334615384615385,0.547779695383606,0.5384615384615384,0.15384615384615385
OAaLyhs9kQw,0.004728999999999992,0.3969039541992495,0.23,0.21
N5gG8eUm3gQ,0.014757999999999992,0.5562419979073857,0.37,0.33
cgTE_09hEDU,0.39040400000000003,0.4180717337778291,0.6,0.07
URqSPBaxV7Y,0.5498239999999999,0.4268231955083978,0.8,0.06
-JuqoWtI2Wg,0.07897399999999999,0.4721244186906668,0.37,0.29
NTuu2Gx_4H4,0.050429,0.3805213219505577,0.26,0.18
0mccdi3V5HE,0.09835,0.22681681957662916,0.14285714285714285,0.0
xIbyQ92vijE,0.307147,0.42842800035828654,0.55,0.11
pz6WcZlwX_o,0.144101,0.41601493254329225,0.4,0.16
