video_id,label,split
St8vFW9Kg-c,1,test
aVHDjmvrXfc,1,train
-XjXTVJhFLM,0,train
JI1kq6CA_38,0,test
7s5DoGy1Bfo,1,train
E2kUsRIj4tM,0,train
Bi6pcwUbTB4,1,train
W1_mXRfrNbQ,1,train
dsyyq62uJ60,1,train
yDtSgSZVxLs,1,test
BIAyb-1uwTg,0,train
-_wfFCLaFWk,0,test
3sXczWhu6wg,1,test
qMPTitxLhKo,1,train
sZG20Mq3Mew,1,train
Z5CigvO3MOw,1,train
OdJnRxYjOmI,1,train
iyQxa9MHJdA,1,train
uI8hzNEHku8,0,train
HlKFVcuIHg8,0,train
hAeTOUCmK_8,1,train
C9u2rNVnZWQ,1,train
T1zzyGhA4-g,0,train
tnazs2t5Brg,0,train
MSx_rMsPy08,1,train
JkDS7bRO7TQ,1,train
n1NvtUwfRJc,0,train
tft1sD5NX_k,1,train
OttRV5ykP7A,0,train
spkfIpPmPgs,0,test
Sl7mO6Z5vWg,1,test
WRmhToZfoHs,0,train
VxhPCJZXhfk,1,train
WlWEpRdcVCY,1,train
YgVBG8uuxx0,1,test
VSrEEDQgFc8,0,train
YVp6q68lvYI,1,train
JzR0MiObqzw,1,train
1RWOpQXTltA,0,train
S9d2QkCncuE,1,train
tg803wPzFEE,1,train
iDJjq0Pd0RM,0,train
s3jjdHuOUFI,1,train
WdT4DPFXIkM,0,test
iCRyq-UAOBY,1,train
SDaWVYXBxZg,1,train
ShjRCYXU-xM,1,train
3ib6ST5S_Ok,0,train
qTQaIbIu8q8,0,train
JRrl7SjUjD8,0,test
C6X3qkWoXv8,0,train
N24EfTHdJX8,1,train
qNUmCtCV_so,1,train
vgA2gxUwEfg,1,train
kR-BPVSqZqk,0,test
XdXWpEFGEUE,1,train
omcQ4Cb0Hx8,1,train
i5temwLLRy8,1,train
a7efEqgpIrE,1,train
sD3FOFZKKiY,0,train
wLHd91tAI5s,1,train
0RDtwoAt1do,1,train
Tck3jgaZlhE,0,train
rT1nGjGM2p8,0,train
WS9MgI6Jv9Q,1,test
48--pjS2sLU,1,test
0dC_4IqXgTs,1,train
6KSjznyrAo8,1,train
H-EtOKn6qXs,1,train
oqU_pqD6OCA,1,train
