video_id,reason
spkfIpPmPgs,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=spkfIpPmPgs! This is most likely caused by:

YouTube is blocking requests from yo"
Sl7mO6Z5vWg,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Sl7mO6Z5vWg! This is most likely caused by:

YouTube is blocking requests from yo"
WRmhToZfoHs,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=WRmhToZfoHs! This is most likely caused by:

YouTube is blocking requests from yo"
VxhPCJZXhfk,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=VxhPCJZXhfk! This is most likely caused by:

YouTube is blocking requests from yo"
WlWEpRdcVCY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=WlWEpRdcVCY! This is most likely caused by:

YouTube is blocking requests from yo"
spkfIpPmPgs,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=spkfIpPmPgs! This is most likely caused by:

YouTube is blocking requests from yo"
spkfIpPmPgs,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=spkfIpPmPgs! This is most likely caused by:

YouTube is blocking requests from yo"
iCRyq-UAOBY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=iCRyq-UAOBY! This is most likely caused by:

YouTube is blocking requests from yo"
SDaWVYXBxZg,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=SDaWVYXBxZg! This is most likely caused by:

YouTube is blocking requests from yo"
ShjRCYXU-xM,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ShjRCYXU-xM! This is most likely caused by:

YouTube is blocking requests from yo"
3ib6ST5S_Ok,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=3ib6ST5S_Ok! This is most likely caused by:

YouTube is blocking requests from yo"
qTQaIbIu8q8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=qTQaIbIu8q8! This is most likely caused by:

YouTube is blocking requests from yo"
iCRyq-UAOBY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=iCRyq-UAOBY! This is most likely caused by:

YouTube is blocking requests from yo"
omcQ4Cb0Hx8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=omcQ4Cb0Hx8! This is most likely caused by:

YouTube is blocking requests from yo"
i5temwLLRy8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=i5temwLLRy8! This is most likely caused by:

YouTube is blocking requests from yo"
a7efEqgpIrE,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=a7efEqgpIrE! This is most likely caused by:

YouTube is blocking requests from yo"
sD3FOFZKKiY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=sD3FOFZKKiY! This is most likely caused by:

YouTube is blocking requests from yo"
wLHd91tAI5s,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=wLHd91tAI5s! This is most likely caused by:

YouTube is blocking requests from yo"
omcQ4Cb0Hx8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=omcQ4Cb0Hx8! This is most likely caused by:

YouTube is blocking requests from yo"
i5temwLLRy8,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=i5temwLLRy8! This is most likely caused by:

YouTube is blocking requests from yo"
a7efEqgpIrE,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=a7efEqgpIrE! This is most likely caused by:

YouTube is blocking requests from yo"
sD3FOFZKKiY,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=sD3FOFZKKiY! This is most likely caused by:

YouTube is blocking requests from yo"
wLHd91tAI5s,"IpBlocked: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=wLHd91tAI5s! This is most likely caused by:

YouTube is blocking requests from yo"
nGXP4ot1OdE,"YouTubeRequestFailed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=nGXP4ot1OdE! This is most likely caused by:

Request to YouTube failed: 503 Serve"
