video_id,comment_count,comments_status,view_count,like_count,error,comments_actually_available,comments_reason,transcript_actually_available,transcript_reason
hDcWfBq5bxM,111,enabled,393256,1532.0,nan,True,ok,True,ok
BtHDTsAA3uI,42,enabled,24418,267.0,nan,True,ok,True,ok
pqe4AHTpzPg,925,enabled,528038,3840.0,nan,True,ok,True,ok
nEGTPVWnwyo,3084,enabled,985095,16680.0,nan,True,ok,True,ok
T9O6rfENh7I,836,enabled,514272,3008.0,nan,True,ok,True,ok
uNeVk5mzssA,0,disabled,22951,96.0,nan,False,disabled,True,ok
L93bcUoLT_E,1624,enabled,5101614,33666.0,nan,True,ok,True,ok
-1GPvt7FRt4,5217,enabled,3444022,39369.0,nan,True,ok,True,ok
Im9Pj6FnhlM,119,enabled,112506,2344.0,nan,True,ok,True,ok
SwTSvzn9yHQ,934,enabled,3387700,26247.0,nan,True,ok,True,ok
QB8OXhvtOMY,7067,enabled,10809530,51770.0,nan,True,ok,True,ok
vxBrSvs3VkY,759,enabled,979268,3488.0,nan,True,ok,True,ok
oWahg8OWtlU,1885,enabled,252911,9097.0,nan,True,ok,True,ok
pmtmeXYW2o4,12,enabled,17499,174.0,nan,True,ok,True,ok
CUdnMkFXI2I,260,enabled,244770,2628.0,nan,True,ok,True,ok
nsAEReon0Ho,0,disabled,88555,1972.0,nan,False,disabled,True,ok
gOsEVZIfCmo,6,enabled,3205,38.0,nan,True,ok,True,ok
qp3XT9Jx1bI,6,enabled,4160,67.0,nan,True,ok,True,ok
1EUtL4_bdpk,61,enabled,29448,557.0,nan,True,ok,True,ok
cJ_boE1nZZ0,357,enabled,312822,837.0,nan,True,ok,True,ok
lX-1CexeTUc,1460,enabled,704721,4177.0,nan,True,ok,True,ok
P72PTEioSyw,11970,enabled,2817372,17730.0,nan,True,ok,True,ok
sWaiZEeWvHE,8,enabled,544,14.0,nan,True,ok,True,ok
Nv3sYb8BY_c,29,enabled,82904,520.0,nan,True,ok,True,ok
QU3gS5mKMbQ,333,enabled,185634,4423.0,nan,True,ok,True,ok
y6abL0JbEI4,85,enabled,36970,540.0,nan,True,ok,True,ok
